dataset,seed,task,method,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,1,C2,0,0,7,7,100.0,0.9965898693601934,7
HK,1993,1,C2,1,4,165,165,100.0,0.9755074601718169,165
HK,1993,1,C3,0,0,7,7,100.0,0.9965898693601934,7
HK,1993,1,C3,1,4,165,165,100.0,0.9755074601718169,165
HK,1993,2,C2,0,0,7,7,100.0,0.45760999451835777,7
HK,1993,2,C2,1,4,165,165,100.0,0.8082613050869437,165
HK,1993,2,C2,2,12,41,36,87.8048780487805,0.4623858693237001,41
HK,1993,2,C2,3,8,153,153,100.0,0.8578045730398205,153
HK,1993,2,C3,0,0,7,7,100.0,0.45699040131879515,7
HK,1993,2,C3,1,4,165,165,100.0,0.8086740474801969,165
HK,1993,2,C3,2,12,41,36,87.8048780487805,0.4624045962706652,41
HK,1993,2,C3,3,8,153,153,100.0,0.8577709622773765,153
HK,1993,3,C2,0,0,7,5,71.42857142857143,0.16018520848143722,7
HK,1993,3,C2,1,4,165,165,100.0,0.7608040949548672,165
HK,1993,3,C2,2,12,41,31,75.60975609756098,0.2843024679605485,41
HK,1993,3,C2,3,8,153,153,100.0,0.7779779706113836,153
HK,1993,3,C2,4,2,182,182,100.0,0.8159482703172657,182
HK,1993,3,C2,5,11,61,40,65.57377049180327,0.11217909158042004,61
HK,1993,3,C3,0,0,7,5,71.42857142857143,0.1591481941066399,7
HK,1993,3,C3,1,4,165,165,100.0,0.7610734697079469,165
HK,1993,3,C3,2,12,41,31,75.60975609756098,0.2843293354339901,41
HK,1993,3,C3,3,8,153,153,100.0,0.7779425768861935,153
HK,1993,3,C3,4,2,182,182,100.0,0.8159308620262598,182
HK,1993,3,C3,5,11,61,40,65.57377049180327,0.11234106019120445,61
HK,1994,1,C2,0,22,21,21,100.0,0.963657293343498,21
HK,1994,1,C2,1,16,8,8,100.0,0.9671022278978711,8
HK,1994,1,C3,0,22,21,21,100.0,0.963657293343498,21
HK,1994,1,C3,1,16,8,8,100.0,0.9671022278978711,8
HK,1994,2,C2,0,22,21,21,100.0,0.6666338737102947,21
HK,1994,2,C2,1,16,8,8,100.0,0.42292808597741843,8
HK,1994,2,C2,2,12,41,37,90.2439024390244,0.4743757091032373,41
HK,1994,2,C2,3,13,160,155,96.875,0.753174517805715,160
HK,1994,2,C3,0,22,21,21,100.0,0.6616772514572334,21
HK,1994,2,C3,1,16,8,8,100.0,0.4201697603905487,8
HK,1994,2,C3,2,12,41,37,90.2439024390244,0.4760444618154324,41
HK,1994,2,C3,3,13,160,155,96.875,0.7538295963799304,160
HK,1994,3,C2,0,22,21,16,76.19047619047619,0.2434843183417762,21
HK,1994,3,C2,1,16,8,8,100.0,0.38646577654131553,8
HK,1994,3,C2,2,12,41,36,87.8048780487805,0.40029294251338976,41
HK,1994,3,C2,3,13,160,156,97.5,0.674565003291985,160
HK,1994,3,C2,4,21,4,1,25.0,-0.2070564366352632,4
HK,1994,3,C2,5,4,165,165,100.0,0.7564749296529741,165
HK,1994,3,C3,0,22,21,16,76.19047619047619,0.24289103894899952,21
HK,1994,3,C3,1,16,8,8,100.0,0.3848944255994044,8
HK,1994,3,C3,2,12,41,36,87.8048780487805,0.401328690484126,41
HK,1994,3,C3,3,13,160,156,97.5,0.673858145934605,160
HK,1994,3,C3,4,21,4,1,25.0,-0.20808201512155172,4
HK,1994,3,C3,5,4,165,165,100.0,0.7568132744493338,165
HK,1995,1,C2,0,9,164,164,100.0,0.9174333934287996,164
HK,1995,1,C2,1,13,160,155,96.875,0.8972202876064376,160
HK,1995,1,C3,0,9,164,164,100.0,0.9174333934287996,164
HK,1995,1,C3,1,13,160,155,96.875,0.8972202876064376,160
HK,1995,2,C2,0,9,164,163,99.39024390243902,0.7593568656578744,164
HK,1995,2,C2,1,13,160,154,96.25,0.7526865952361067,160
HK,1995,2,C2,2,16,8,8,100.0,0.8324480546836648,8
HK,1995,2,C2,3,14,60,60,100.0,0.7621427048328512,60
HK,1995,2,C3,0,9,164,163,99.39024390243902,0.753338722298245,164
HK,1995,2,C3,1,13,160,154,96.25,0.7450004993622912,160
HK,1995,2,C3,2,16,8,8,100.0,0.8337031671790515,8
HK,1995,2,C3,3,14,60,60,100.0,0.7635022912816901,60
HK,1995,3,C2,0,9,164,163,99.39024390243902,0.6862080268395154,164
HK,1995,3,C2,1,13,160,155,96.875,0.6948470687514826,160
HK,1995,3,C2,2,16,8,8,100.0,0.7853354239748156,8
HK,1995,3,C2,3,14,60,60,100.0,0.5472786993210044,60
HK,1995,3,C2,4,15,123,122,99.1869918699187,0.7555412467905693,123
HK,1995,3,C2,5,5,1,0,0.0,-0.3199045885861827,1
HK,1995,3,C3,0,9,164,163,99.39024390243902,0.6789089329672434,164
HK,1995,3,C3,1,13,160,155,96.875,0.6858376389743798,160
HK,1995,3,C3,2,16,8,8,100.0,0.7826685502922512,8
HK,1995,3,C3,3,14,60,60,100.0,0.5446018422298076,60
HK,1995,3,C3,4,15,123,122,99.1869918699187,0.7562543312903364,123
HK,1995,3,C3,5,5,1,0,0.0,-0.31855057233234324,1
ISIC,1993,1,C2,0,4,41,39,95.1219512195122,0.6400010958571355,38
ISIC,1993,1,C2,1,0,44,44,100.0,0.8619492072635871,44
ISIC,1993,1,C3,0,4,41,39,95.1219512195122,0.6400010958571355,38
ISIC,1993,1,C3,1,0,44,44,100.0,0.8619492072635871,44
ISIC,1993,2,C2,0,4,41,31,75.60975609756098,0.2479732087382186,38
ISIC,1993,2,C2,1,0,44,40,90.9090909090909,0.4630053403721229,44
ISIC,1993,2,C2,2,3,40,26,65.0,0.13487265038885338,37
ISIC,1993,2,C2,3,7,24,14,58.333333333333336,0.07142287578775247,20
ISIC,1993,2,C3,0,4,41,31,75.60975609756098,0.2478838545787183,38
ISIC,1993,2,C3,1,0,44,40,90.9090909090909,0.4630955907387019,44
ISIC,1993,2,C3,2,3,40,26,65.0,0.13496620764517947,37
ISIC,1993,2,C3,3,7,24,14,58.333333333333336,0.07137942140026808,20
ISIC,1993,3,C2,0,4,41,25,60.97560975609756,0.08647133791938348,38
ISIC,1993,3,C2,1,0,44,39,88.63636363636364,0.367858701465615,44
ISIC,1993,3,C2,2,3,40,24,60.0,0.03984783917518951,37
ISIC,1993,3,C2,3,7,24,14,58.333333333333336,0.06481917238030628,20
ISIC,1993,3,C2,4,5,37,19,51.351351351351354,0.0810869980684544,34
ISIC,1993,3,C2,5,6,26,24,92.3076923076923,0.4261784001526058,24
ISIC,1993,3,C3,0,4,41,25,60.97560975609756,0.08601489358300099,38
ISIC,1993,3,C3,1,0,44,39,88.63636363636364,0.36996064048054883,44
ISIC,1993,3,C3,2,3,40,24,60.0,0.03859267298975658,37
ISIC,1993,3,C3,3,7,24,14,58.333333333333336,0.06553450687820984,20
ISIC,1993,3,C3,4,5,37,19,51.351351351351354,0.0820929072608697,34
ISIC,1993,3,C3,5,6,26,24,92.3076923076923,0.42622506385459474,24
ISIC,1994,1,C2,0,3,40,39,97.5,0.7556535861755985,37
