dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,restricted_old_BA,restricted_old_accuracy
HK,1993,1,F1,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,2,F1,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,100.0,100.0
HK,1993,3,F1,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,97.5609756097561,98.90710382513662
HK,1993,4,F1,771,85.33561886728712,89.49416342412452,78.12442297062539,[],92.51821323009034,70.59176329468212,85.71428571428572,82.99526252368643,92.35668789808918,98.72611464968153,97.53086419753086,87.4260883837675,85.33433956864585,94.41707717569786
HK,1993,5,F1,783,79.21815644819976,88.12260536398468,73.8054190034388,[],92.20329938576474,68.11275489804078,71.78571428571428,80.2726955602497,75.0,100.0,100.0,77.54682360985537,82.87808197711153,89.10505836575877
HK,1993,6,F1,964,75.82024772876908,89.21161825726142,69.68598056629264,[],92.89620445746337,72.97779300978021,56.60714285714286,73.86524965547527,85.5952380952381,99.0625,98.34254143646409,79.29881214346563,78.86524965547527,88.63346104725414
HK,1993,7,F1,1057,74.39608792156552,88.74172185430463,69.79780760400686,[],93.26695911910411,73.7563727755651,51.60714285714286,74.30806217111937,74.92424242424242,96.13636363636364,96.7741935483871,74.61488019340908,76.02780739404933,89.62655601659752
HK,1993,8,F1,1223,70.18012768232965,88.87980376124285,66.10939420092359,[19],93.34020087106278,71.28245325246525,41.28571428571429,73.15011107945688,49.390243902439025,99.6951219512195,99.3975903614458,58.96672697314533,73.35853529613807,87.79564806054873
HK,1993,9,F1,1347,67.54248625851241,89.53229398663697,63.74647010261971,"[19, 6]",94.17612950245982,70.0206549414866,34.404761904761905,69.78611004895654,49.59349593495935,100.0,100.0,57.982050393026874,70.08372909657558,88.71627146361406
HK,1993,10,F1,1414,61.41221801300469,86.20933521923621,57.127184850404824,"[21, 19, 6, 5]",94.26882740964818,61.15566616066416,28.775510204081634,66.88899644542609,12.121212121212121,100.0,100.0,20.523315384142915,68.46307051950015,89.53229398663697
