dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,restricted_old_BA,restricted_old_accuracy,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM
HK,1993,4,B1A,771,85.26580306217721,89.3644617380026,78.5317495220057,[],92.3785816198705,70.59176329468212,85.71428571428572,82.90217478353988,85.33433956864585,94.41707717569786,92.35668789808918,98.72611464968153,97.53086419753086,87.37441479881069
HK,1993,4,B1T,771,85.26580306217721,89.3644617380026,78.5317495220057,[],92.3785816198705,70.59176329468212,85.71428571428572,82.90217478353988,85.33433956864585,94.41707717569786,92.35668789808918,98.72611464968153,97.53086419753086,87.37441479881069
HK,1994,4,B1A,406,70.1945412311266,93.8423645320197,64.81526053164148,[19],97.5,80.77816492450638,51.25,80.2593883081688,80.46772164150212,94.9874686716792,40.0,75.0,85.71428571428571,53.39085085149535
HK,1994,4,B1T,406,70.1945412311266,93.8423645320197,64.81526053164148,[19],97.5,80.77816492450638,51.25,80.2593883081688,80.46772164150212,94.9874686716792,40.0,50.0,71.42857142857143,53.39085085149535
HK,1995,4,B1A,670,85.0241361788618,97.76119402985076,81.75795534661063,[5],98.27574525745257,95.1219512195122,50.0,82.47120596205961,82.5753726287263,98.44961240310077,92.6829268292683,100.0,100.0,87.27938788414968
HK,1995,4,B1T,670,85.0241361788618,97.76119402985076,81.75795534661063,[5],98.27574525745257,95.1219512195122,50.0,82.47120596205961,82.5753726287263,98.44961240310077,92.6829268292683,100.0,100.0,87.27938788414968
ISIC,1993,4,B1A,295,60.45975738612271,59.66101694915255,60.884953559098555,[],68.15110565110565,51.18691066464131,71.31410256410257,63.18253589595053,68.59056246251369,68.39622641509435,52.291421856639246,90.5111633372503,90.36144578313254,57.223372313716396
ISIC,1993,4,B1T,295,60.45975738612271,59.66101694915255,60.88281707500014,[],68.15110565110565,51.18691066464131,71.31410256410257,63.18253589595053,68.59056246251369,68.39622641509435,52.291421856639246,90.5111633372503,90.36144578313254,57.223372313716396
ISIC,1994,4,B1A,295,56.34410972626773,55.254237288135585,56.54759826409772,[],64.0970515970516,44.982642371958384,71.31410256410257,52.410875398680275,56.892399605814234,57.399103139013455,68.1438127090301,93.9799331103679,94.44444444444444,59.25073397217074
ISIC,1994,4,B1T,295,56.582709938356814,55.59322033898305,56.88590954863392,[],64.0970515970516,45.459842796136535,71.31410256410257,52.004371333639625,56.03544509032313,56.502242152466366,70.31772575250837,93.9799331103679,94.44444444444444,59.790163976588424
ISIC,1995,4,B1A,295,61.18637043743089,60.0,61.775538149231444,[],69.28746928746929,50.068749820870714,75.32051282051282,63.88859053493201,65.50721581209386,64.44444444444444,53.07971014492754,83.2427536231884,87.14285714285714,57.98473342694414
ISIC,1995,4,B1T,295,61.18637043743089,60.0,61.775538149231444,[],69.28746928746929,50.068749820870714,75.32051282051282,63.88859053493201,65.50721581209386,64.44444444444444,53.07971014492754,83.2427536231884,87.14285714285714,57.98473342694414
HK,1993,4,C2,771,85.26580306217721,89.3644617380026,78.5317495220057,[],92.3785816198705,70.59176329468212,85.71428571428572,82.90217478353988,85.33433956864585,94.41707717569786,92.35668789808918,98.72611464968153,97.53086419753086,87.37441479881069
HK,1993,4,C3,771,85.26580306217721,89.3644617380026,78.5317495220057,[],92.3785816198705,70.59176329468212,85.71428571428572,82.90217478353988,85.33433956864585,94.41707717569786,92.35668789808918,98.72611464968153,97.53086419753086,87.37441479881069
HK,1994,4,C2,406,70.1945412311266,93.8423645320197,64.81526053164148,[19],97.5,80.77816492450638,51.25,80.2593883081688,80.46772164150212,94.9874686716792,40.0,75.0,85.71428571428571,53.39085085149535
HK,1994,4,C3,406,70.1945412311266,93.8423645320197,64.81526053164148,[19],97.5,80.77816492450638,51.25,80.2593883081688,80.46772164150212,94.9874686716792,40.0,75.0,85.71428571428571,53.39085085149535
HK,1995,4,C2,670,85.0241361788618,97.76119402985076,81.87017027696041,[5],98.27574525745257,95.1219512195122,50.0,82.47120596205961,82.5753726287263,98.44961240310077,92.6829268292683,100.0,100.0,87.27938788414968
HK,1995,4,C3,670,85.0241361788618,97.76119402985076,81.87017027696041,[5],98.27574525745257,95.1219512195122,50.0,82.47120596205961,82.5753726287263,98.44961240310077,92.6829268292683,100.0,100.0,87.27938788414968
ISIC,1993,4,C2,295,58.372273410051775,57.28813559322033,58.9056335931336,[],64.3120393120393,48.931475882032615,71.31410256410257,62.38708135049598,68.2117745837258,67.9245283018868,46.327849588719154,91.86251468860165,91.56626506024097,53.17134079220397
ISIC,1993,4,C3,295,58.981850378324395,57.96610169491525,59.58282734937986,[],65.66339066339066,49.47495414290218,71.31410256410257,62.38708135049598,68.2117745837258,67.9245283018868,48.76615746180964,91.86251468860165,91.56626506024097,54.742052777398634
ISIC,1994,4,C2,295,57.291703661666546,56.271186440677965,57.41266915101966,[],65.44840294840296,46.202154567080335,71.31410256410257,53.67433397921203,58.12814200009323,58.744394618834086,68.1438127090301,93.9799331103679,94.44444444444444,60.049735797111474
