method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,balanced_accuracy,accuracy,macro_f1,old_macro_recall,current_macro_recall,component_equal_balanced_accuracy,lesion_equal_balanced_accuracy,n_images,n_components,worst_class_recall,zero_recall_classes,HM_old_current_macro,head_rank2,head_rank2_n_classes,mid_rank4,mid_rank4_n_classes,tail_rank2,tail_rank2_n_classes,old_tail_rank2,old_tail_n_classes,current_tail_rank2,current_tail_n_classes,restricted_current_BA_diagnostic,restricted_old_BA_diagnostic,parent_id,core,base_macro_recall,base_n_classes,post_base_macro_recall,post_base_n_classes,tail_base_macro_recall,tail_base_n_classes,tail_post_base_macro_recall,tail_post_base_n_classes,label_6_recall,label_6_n_correct,label_6_n_images,label_7_recall,label_7_n_correct,label_7_n_images,raw_margin_quantiles,exact_argmax_ties,AvgBA_all,AvgBA_inc
A-U,1993,2,8,6,2,val,A1_fixed_analytic,26.992642345903214,31.52542372881356,17.216238865042,16.28787878787879,59.106933019976495,26.903409090909093,26.903409090909093,295,278,0.0,"[4, 3, 7, 5, 6]",25.538270803199808,73.1879606879607,2,17.391304347826086,4,0.0,2,0.0,2,,0,90.5111633372503,21.585365853658537,,True,24.431818181818183,4,29.553466509988247,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8996814608564683, -0.5774001914635286, -0.41028332161368997, -0.23530841784474402, 0.1698437345415858, 0.7483697417042193, 1.0502066287993033]",0,25.630338776547678,23.475995969699575
A-U,1994,2,8,6,2,val,A1_fixed_analytic,26.992642345903217,31.52542372881356,17.216238865042,24.395986895986898,34.78260869565217,26.90340909090909,26.90340909090909,295,278,0.0,"[3, 7, 4, 5, 6]",28.67780343429633,73.1879606879607,2,17.391304347826086,4,0.0,2,0.0,1,0.0,1,50.0,27.694737420347177,,True,0.0,4,53.985284691806434,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8996814608564698, -0.5774001914635286, -0.410283321613692, -0.23530841784474404, 0.16984373454158658, 0.7483697417042183, 1.0502066287992993]",0,30.563412093767344,27.387636268534997
A-U,1995,2,8,6,2,val,A1_fixed_analytic,26.992642345903217,31.52542372881356,17.216238865042,24.395986895986898,34.78260869565217,26.90340909090909,26.90340909090909,295,278,0.0,"[3, 6, 4, 5, 7]",28.67780343429633,73.1879606879607,2,17.391304347826086,4,0.0,2,0.0,1,0.0,1,50.0,27.694737420347177,,True,36.59398034398035,4,17.391304347826086,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8996814608564654, -0.5774001914635275, -0.41028332161368974, -0.2353084178447443, 0.16984373454158533, 0.7483697417042201, 1.0502066287992984]",0,32.15482057541973,27.387636268534997
A-CB,1993,2,8,6,2,val,A1_fixed_analytic,55.497263593432734,54.23728813559322,55.55991004063034,58.19141608775755,47.41480611045829,55.719000734480616,55.719000734480616,295,278,32.5,[],52.25326034133321,63.17567567567568,2,43.82976627210456,4,71.15384615384616,2,71.15384615384616,2,,0,90.24676850763807,64.51554232042037,,True,53.39939024390244,4,57.59513694296303,4,50.0,1,92.3076923076923,1,92.3076923076923,24,26,50.0,12,24,"[-0.7254463891958346, -0.23794065999488537, -0.10575557121559362, 0.01964879075110737, 0.18316227845322813, 0.48364153460645637, 0.8044115989349107]",0,62.69773421251417,60.11436739415928
A-CB,1994,2,8,6,2,val,A1_fixed_analytic,55.497263593432734,54.23728813559322,55.55991004063034,51.365359261700725,67.89297658862876,55.71900073448061,55.71900073448061,295,278,32.5,[],58.483914083755316,63.17567567567568,2,43.82976627210456,4,71.15384615384616,2,50.0,1,92.3076923076923,1,95.90301003344482,54.13297443785249,,True,45.46020105471325,4,65.53432613215222,4,50.0,1,92.3076923076923,1,92.3076923076923,24,26,50.0,12,24,"[-0.725446389195834, -0.23794065999488528, -0.10575557121559243, 0.019648790751107703, 0.18316227845322824, 0.48364153460645537, 0.8044115989349094]",0,56.53404355187229,55.521374051165935
A-CB,1995,2,8,6,2,val,A1_fixed_analytic,55.497263593432734,54.23728813559322,55.55991004063034,58.41664131298278,46.73913043478261,55.719000734480616,55.719000734480616,295,278,32.5,[],51.929494168681885,63.17567567567568,2,43.82976627210456,4,71.15384615384616,2,92.3076923076923,1,50.0,1,80.07246376811594,61.76950082437887,,True,62.78976091476092,4,48.20476627210456,4,92.3076923076923,1,50.0,1,92.3076923076923,24,26,50.0,12,24,"[-0.7254463891958332, -0.23794065999488503, -0.10575557121559298, 0.019648790751108147, 0.1831622784532281, 0.4836415346064562, 0.8044115989349099]",0,65.87631200999441,58.40610948163308
S-J-U,1993,2,8,6,2,val,A1_fixed_analytic,28.464340081187906,33.220338983050844,19.40968622442591,17.613636363636363,61.016451233842545,28.51521976521976,28.51521976521976,295,278,0.0,"[4, 7, 5, 6]",27.336141089760467,69.56388206388206,2,22.146739130434785,4,0.0,2,0.0,2,,0,89.98237367802587,24.07520325203252,1993,True,26.420454545454543,4,30.508225616921273,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8792172222992187, -0.5992775065938406, -0.37638236467153907, -0.2065681038709901, 0.21638611733344557, 0.7099575265874726, 1.0988346320885183]",0,29.550782737089737,26.26977166661021
S-J-U,1994,2,8,6,2,val,A1_fixed_analytic,27.046389274650142,31.52542372881356,17.243277595515703,24.467649467649466,34.78260869565217,26.966540404040405,26.966540404040405,295,278,0.0,"[3, 7, 4, 5, 6]",28.727256336673825,73.4029484029484,2,17.391304347826086,4,0.0,2,0.0,1,0.0,1,50.0,28.183066658676413,1994,True,0.0,4,54.092778549300284,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8925523062887674, -0.5804369553571976, -0.41563722129923253, -0.2377220871179531, 0.19550530857582046, 0.7409527128925587, 1.0361685004954013]",0,31.840849453521773,28.051320323987344
S-J-U,1995,2,8,6,2,val,A1_fixed_analytic,28.94672711248798,33.559322033898304,20.075047804676366,27.00143325143325,34.78260869565217,28.838725088725088,28.838725088725088,295,278,0.0,"[6, 4, 5, 7]",30.402034486857602,74.75429975429975,2,20.516304347826086,4,0.0,2,0.0,1,0.0,1,50.0,29.883517109126867,1995,True,40.502149877149876,4,17.391304347826086,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8795695796551285, -0.5954912423177549, -0.38116102870263513, -0.22160581154679443, 0.23086659024454348, 0.714905677389017, 1.0542543061628253]",0,34.542684464808005,29.640347336032647
S-J-CB,1993,2,8,6,2,val,A1_fixed_analytic,61.724166166106784,61.016949152542374,62.58747942775127,63.86958935739424,55.28789659224442,61.74323141041408,61.74323141041408,295,278,45.94594594594595,[],59.269717276062345,67.93611793611794,2,52.78155541543665,4,73.3974358974359,2,73.3974358974359,2,,0,90.24676850763807,69.36846342334148,1993,True,62.20251293422026,4,61.24581939799331,4,58.333333333333336,1,88.46153846153845,1,88.46153846153845,23,26,58.333333333333336,14,24,"[-0.8288370289131718, -0.2506724432034335, -0.0882685765241546, 0.05769382069861628, 0.24395659377270648, 0.5239260560742879, 0.8813001419406691]",0,68.12258236237558,64.67024641865575
