contrast,order_seed,session,metric,point_pp,lower95,upper95,resamples,seed,unit,parents_resampled,independent_confirmation,interpretation
S-J-CB minus A-CB,1995,1,label_6_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,1,label_7_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,1,label_7_recall,4.166666666666664,0.0,13.63636363636364,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,1,base_macro_recall,3.651607538802658,0.08289094036044828,7.289335664335663,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,1,base_macro_recall,2.3575862447813662,-0.574368206769528,5.782251082251084,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,1,base_macro_recall,6.964066339066335,2.451567273654885,11.430286092633635,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,1,base_macro_recall,4.324420040883453,2.0997091635249525,6.529475066160724,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,1,post_base_macro_recall,1.3513513513513544,0.0,3.94736842105263,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,1,post_base_macro_recall,6.756756756756758,0.5050505050505052,13.525568181818153,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,1,post_base_macro_recall,0.1318391562294039,-4.878563777191831,5.1671728864845,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,1,post_base_macro_recall,2.7466490881125054,0.10156546669705045,5.549181331434219,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,1,tail_base_macro_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,1,tail_base_macro_recall,4.166666666666664,0.0,13.63636363636364,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
