method,order_seed,original_label,in_parent_base,first_session,first_recall,last_recall,first_minus_final_pp,final_minus_first_pp,no_subsequent_interval
A-U,1993,0,True,0,100.0,97.72727272727273,2.2727272727272663,-2.2727272727272663,False
A-U,1993,1,False,2,48.64864864864865,48.64864864864865,,,True
A-U,1993,2,False,2,69.56521739130434,69.56521739130434,,,True
A-U,1993,3,True,0,10.0,0.0,10.0,-10.0,False
A-U,1993,4,True,0,9.75609756097561,0.0,9.75609756097561,-9.75609756097561,False
A-U,1993,5,False,1,0.0,0.0,0.0,0.0,False
A-U,1993,6,False,1,0.0,0.0,0.0,0.0,False
A-U,1993,7,True,0,0.0,0.0,0.0,0.0,False
A-U,1994,0,False,1,100.0,97.72727272727273,2.2727272727272663,-2.2727272727272663,False
A-U,1994,1,False,1,56.75675675675676,48.64864864864865,8.108108108108105,-8.108108108108105,False
A-U,1994,2,False,2,69.56521739130434,69.56521739130434,,,True
A-U,1994,3,True,0,100.0,0.0,100.0,-100.0,False
A-U,1994,4,True,0,34.146341463414636,0.0,34.146341463414636,-34.146341463414636,False
A-U,1994,5,True,0,13.513513513513514,0.0,13.513513513513514,-13.513513513513514,False
A-U,1994,6,False,2,0.0,0.0,,,True
A-U,1994,7,True,0,0.0,0.0,0.0,0.0,False
A-U,1995,0,True,0,100.0,97.72727272727273,2.2727272727272663,-2.2727272727272663,False
A-U,1995,1,True,0,56.75675675675676,48.64864864864865,8.108108108108105,-8.108108108108105,False
A-U,1995,2,False,2,69.56521739130434,69.56521739130434,,,True
A-U,1995,3,True,0,10.0,0.0,10.0,-10.0,False
A-U,1995,4,False,1,2.4390243902439024,0.0,2.4390243902439024,-2.4390243902439024,False
A-U,1995,5,False,1,0.0,0.0,0.0,0.0,False
A-U,1995,6,True,0,0.0,0.0,0.0,0.0,False
A-U,1995,7,False,2,0.0,0.0,,,True
A-CB,1993,0,True,0,90.9090909090909,75.0,15.909090909090907,-15.909090909090907,False
A-CB,1993,1,False,2,51.35135135135135,51.35135135135135,,,True
A-CB,1993,2,False,2,43.47826086956522,43.47826086956522,,,True
A-CB,1993,3,True,0,52.5,32.5,20.0,-20.0,False
A-CB,1993,4,True,0,78.04878048780488,56.09756097560976,21.951219512195117,-21.951219512195117,False
A-CB,1993,5,False,1,48.64864864864865,43.24324324324324,5.405405405405411,-5.405405405405411,False
A-CB,1993,6,False,1,88.46153846153845,92.3076923076923,-3.846153846153854,3.846153846153854,False
A-CB,1993,7,True,0,50.0,50.0,0.0,0.0,False
A-CB,1994,0,False,1,75.0,75.0,0.0,0.0,False
A-CB,1994,1,False,1,48.64864864864865,51.35135135135135,-2.7027027027026946,2.7027027027026946,False
A-CB,1994,2,False,2,43.47826086956522,43.47826086956522,,,True
A-CB,1994,3,True,0,77.5,32.5,45.0,-45.0,False
A-CB,1994,4,True,0,51.21951219512195,56.09756097560976,-4.878048780487809,4.878048780487809,False
A-CB,1994,5,True,0,51.35135135135135,43.24324324324324,8.108108108108105,-8.108108108108105,False
A-CB,1994,6,False,2,92.3076923076923,92.3076923076923,,,True
A-CB,1994,7,True,0,54.166666666666664,50.0,4.166666666666664,-4.166666666666664,False
A-CB,1995,0,True,0,79.54545454545455,75.0,4.545454545454547,-4.545454545454547,False
A-CB,1995,1,True,0,67.56756756756756,51.35135135135135,16.216216216216218,-16.216216216216218,False
A-CB,1995,2,False,2,43.47826086956522,43.47826086956522,,,True
A-CB,1995,3,True,0,80.0,32.5,47.5,-47.5,False
A-CB,1995,4,False,1,58.536585365853654,56.09756097560976,2.439024390243894,-2.439024390243894,False
A-CB,1995,5,False,1,48.64864864864865,43.24324324324324,5.405405405405411,-5.405405405405411,False
A-CB,1995,6,True,0,96.15384615384616,92.3076923076923,3.846153846153854,-3.846153846153854,False
A-CB,1995,7,False,2,50.0,50.0,,,True
